repo_full_name,agentic_intervention_rate,human_intervention_rate,n_agentic_prs,n_human_prs
medplum/medplum,1.0,1.0,2,1
mem0ai/mem0,0.0,0.0,2,1
mendableai/fire-enrich,0.0,0.0,2,1
mendableai/firecrawl,0.0,0.0,92,29
metacraft-labs/codetracer,0.0,0.0,43,31
metalbear-co/mirrord,0.0,0.0,2,1
microsoft/ApplicationInsights-JS,0.041666666666666664,0.1875,24,16
microsoft/BotFramework-WebChat,0.0,0.0,2,1
microsoft/GSL,0.0,0.0,3,1
microsoft/Generative-AI-for-beginners-dotnet,0.0,0.0,19,9
microsoft/HydraLab,0.0,0.0,2,2
microsoft/Microsoft365DSC,0.0,0.0,11,1
microsoft/Olive,0.5714285714285714,0.0,7,3
microsoft/OpenAPI.NET,1.0,1.0,4,1
microsoft/PowerToys,0.0,0.0,7,5
microsoft/TypeScript,0.0,0.0,27,7
microsoft/Windows-classic-samples,0.0,0.0,2,1
microsoft/autogen,0.0,0.0,14,6
microsoft/azure-pipelines-agent,0.0,0.0,9,4
microsoft/azure-pipelines-tasks,0.0,0.0,7,5
microsoft/azurelinux,0.3333333333333333,0.0,6,4
microsoft/cpprestsdk,0.0,0.0,1,1
microsoft/debugpy,0.0,0.0,1,1
microsoft/documentdb,0.0,0.0,3,1
microsoft/ebpf-for-windows,0.0,0.0,13,1
microsoft/fluentui,0.0,0.0,6,2
microsoft/fluentui-blazor,0.0,0.0,6,2
microsoft/generative-ai-with-javascript,0.0,0.0,4,4
microsoft/git,0.0,0.0,3,1
microsoft/graphrag,0.0,0.0,5,1
microsoft/kiota,0.0,1.0,4,1
microsoft/magentic-ui,0.0,0.3333333333333333,6,3
microsoft/mcp-for-beginners,0.0,0.0,2,1
microsoft/msquic,0.0,0.0,8,4
microsoft/onnxruntime,0.058823529411764705,0.07142857142857142,17,14
microsoft/onnxruntime-genai,0.0,0.0,2,1
microsoft/openvmm,0.0,0.0,19,7
microsoft/perfview,0.0,0.0,30,19
microsoft/playwright,0.1,0.0,10,6
microsoft/playwright-dotnet,0.0,0.0,2,1
microsoft/playwright-mcp,0.3333333333333333,0.0,6,4
microsoft/qsharp,0.0,0.0,5,4
microsoft/react-native-macos,0.0,0.0,2,1
microsoft/react-native-windows,0.0,0.0,34,17
microsoft/retina,0.0,0.0,7,2
microsoft/roosterjs,0.0,0.0,2,1
microsoft/sbom-tool,0.0,0.0,2,1
microsoft/semantic-kernel,0.0,0.0,2,1
microsoft/teams-ai,0.0,0.0,1,1
microsoft/testfx,0.0,0.0,60,25
microsoft/typescript-go,0.0,0.0,41,26
microsoft/typespec,0.045454545454545456,0.0,44,17
microsoft/vcpkg,0.0,0.0,10,4
microsoft/vs-threading,0.0,0.0,3,1
microsoft/vscode,0.0,0.0,198,85
microsoft/vscode-data-wrangler,0.0,0.0,1,1
microsoft/vscode-docs,0.0,0.0,2,1
