lang_bucket,stars_bin,created_year,n_ai_in_bucket,n_candidates_returned
C++,100-199,2023,2,100
Dart,1000+,2020,2,66
Dart,1000+,2021,2,31
Dart,200-499,2019,2,100
C++,100-199,2016,2,100
Kotlin,1000+,2021,2,64
PHP,100-199,2012,2,98
C#,200-499,2015,2,100
C#,200-499,2016,2,98
C++,200-499,2015,2,100
C++,200-499,2019,2,100
C++,200-499,2023,2,100
C#,500-999,2025,2,31
C#,200-499,2025,2,98
C#,500-999,2014,2,70
JavaScript,200-499,2011,2,99
JavaScript,200-499,2012,2,100
JavaScript,1000+,2018,2,100
C,200-499,2019,2,99
C,1000+,2017,2,99
C,1000+,2024,2,35
TypeScript,1000+,2011,2,44
TypeScript,500-999,2015,2,99
C,200-499,2012,2,99
C,200-499,2014,2,99
TypeScript,200-499,2014,2,92
Astro,100-199,2024,2,25
TypeScript,1000+,2013,2,98
Unknown,200-499,2023,2,98
Unknown,500-999,2023,2,98
Unknown,500-999,2025,2,99
Vue,1000+,2020,2,49
Vue,1000+,2023,2,44
Vue,200-499,2023,2,99
Zig,1000+,2021,1,7
Bicep,100-199,2023,1,7
Bicep,1000+,2015,1,0
Bicep,1000+,2020,1,2
Bicep,200-499,2021,1,3
C#,200-499,2012,1,99
C#,200-499,2013,1,99
C#,200-499,2014,1,100
C#,200-499,2022,1,99
C#,500-999,2013,1,54
C++,100-199,2012,1,99
C++,100-199,2015,1,100
C,200-499,2023,1,100
C++,100-199,2025,1,98
C++,1000+,2010,1,57
C++,1000+,2024,1,63
C++,200-499,2016,1,100
C++,200-499,2018,1,99
C++,200-499,2022,1,100
C++,200-499,2024,1,99
C#,1000+,2024,1,23
Dart,100-199,2022,1,99
Dart,100-199,2025,1,57
Dart,1000+,2016,1,3
Dart,1000+,2018,1,78
Dart,1000+,2019,1,84
Dart,1000+,2023,1,31
Dart,200-499,2018,1,99
C++,100-199,2017,1,100
CSS,1000+,2021,1,30
Circom,500-999,2023,1,0
