covariate,type,pre_match_smd,post_match_smd,pre_match_n_ai,pre_match_n_control_pool,post_match_n_pairs,ai_pre_mean,ctrl_pre_mean,ai_post_mean,ctrl_post_mean,abs_post_smd_gt_0p1
lang_PLpgSQL,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_Perl,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_PowerShell,binary,-0.0016620651743091196,0.0,2706,2657,1744,0.008130081300813009,0.008280015054572827,0.010894495412844037,0.010894495412844037,False
lang_Python,binary,-0.008877692882494348,0.0,2706,2657,1744,0.18920916481892092,0.19269853217914942,0.1496559633027523,0.1496559633027523,False
lang_QML,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_R,binary,-0.0007898376879739668,0.0,2706,2657,1744,0.0018477457501847746,0.001881821603312006,0.0028669724770642203,0.0028669724770642203,False
lang_RPM Spec,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_ReScript,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_Ruby,binary,0.0009996841471273704,0.0,2706,2657,1744,0.014042867701404288,0.013925479864508844,0.020068807339449542,0.020068807339449542,False
lang_Rust,binary,-0.00446399678431804,0.0,2706,2657,1744,0.05580192165558019,0.05683101242002258,0.05561926605504587,0.05561926605504587,False
lang_SCSS,binary,-0.0006115771479653591,0.0,2706,2657,1744,0.0011086474501108647,0.0011290929619872036,0.0017201834862385322,0.0017201834862385322,False
lang_Scala,binary,-0.0007063203463493152,0.0,2706,2657,1744,0.0014781966001478197,0.0015054572826496049,0.0022935779816513763,0.0022935779816513763,False
lang_Shell,binary,-0.0018771814717797551,0.0,2706,2657,1744,0.010347376201034738,0.010538200978547234,0.014334862385321102,0.014334862385321102,False
lang_Smarty,binary,0.015364190576590855,0.0,2706,2657,1744,0.0007390983000739098,0.0003763643206624012,0.0005733944954128441,0.0005733944954128441,False
lang_Solidity,binary,-0.0007898376879739667,0.0,2706,2657,1744,0.0018477457501847746,0.001881821603312006,0.0028669724770642203,0.0028669724770642203,False
lang_Starlark,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_Svelte,binary,-0.0007898376879739668,0.0,2706,2657,1744,0.0018477457501847746,0.001881821603312006,0.0022935779816513763,0.0022935779816513763,False
lang_Swift,binary,-0.002039829366149314,0.0,2706,2657,1744,0.012195121951219513,0.012420022581859239,0.018922018348623854,0.018922018348623854,False
lang_TeX,binary,-0.00035296245741360397,0.0,2706,2657,1744,0.0003695491500369549,0.0003763643206624012,0.0005733944954128441,0.0005733944954128441,False
lang_TypeScript,binary,-0.00997987212422906,0.0,2706,2657,1744,0.22764227642276422,0.23184042152803913,0.1966743119266055,0.1966743119266055,False
lang_TypeSpec,binary,0.03846153846153846,0.0,2706,2657,1744,0.0007390983000739098,0.0,0.0,0.0,False
lang_Unknown,binary,0.005002001132416747,0.0,2706,2657,1744,0.011825572801182557,0.011290929619872036,0.008600917431192661,0.008600917431192661,False
lang_Vim Script,binary,0.011672354203324554,0.0,2706,2657,1744,0.0011086474501108647,0.0007527286413248024,0.0005733944954128441,0.0005733944954128441,False
lang_Vue,binary,-0.0013706022681339374,0.0,2706,2657,1744,0.005543237250554324,0.005645464809936018,0.006880733944954129,0.006880733944954129,False
lang_Zig,binary,-0.0006115771479653591,0.0,2706,2657,1744,0.0011086474501108647,0.0011290929619872036,0.0011467889908256881,0.0011467889908256881,False
